COD,ARTIC,PR_CON_IVA,usa_tinto,tipo_tinto,base_tinto,base_fisica_tinto,factor_envase_tinto,ajuste_formula_tinto,factor_tinto,litros_reales,kilos_reales,unidad_detectada,confianza_tinto,regla_tinto,observacion_tinto
WATDILUCEMENTO,TEDE DILUYENTE CEMENTO 1L,3000.00,NO,,,,,,,,,,,,Sin base tintométrica detectada
34800013,47-55 HARDENER STD 1 LTS,7730.17,NO,,,,,,,,,,,,Sin base tintométrica detectada
34820003,47-91 SPOT REPAIR THINNER 1 LT,10199.86,NO,,,,,,,,,,,,Sin base tintométrica detectada
w1553,ABRE BALDES,3304.45,NO,,,,,,,,,,,,Sin base tintométrica detectada
WB1553,ABRE BALDES,3387.06,NO,,,,,,,,,,,,Sin base tintométrica detectada
AFXVA2,Abrojo sujetador autoadhesivo 20mm x 2m,26050.66,NO,,,,,,,,,,,,Sin base tintométrica detectada
AFXVB2,Abrojo sujetador bifaz 15mm x 2m,16334.23,NO,,,,,,,,,,,,Sin base tintométrica detectada
82017243,ACRILPLAST I/E PLATINO 1 LTS,18717.90,NO,,,,,,,,,,,,Sin base tintométrica detectada
82017247,ACRILPLAST I/E PLATINO 20 LTS,262985.43,NO,,,,,,,,,,,,Sin base tintométrica detectada
82017244,ACRILPLAST I/E PLATINO 4 LTS,57435.87,NO,,,,,,,,,,,,Sin base tintométrica detectada
82010963,ACRILPLAST IE ACCENT 1 LT,14725.39,SI,PINTURA,ACCENT,ACCENT,1,1,1,1,,L,ALTA,auto_base_en_nombre,Presentación 1L
82010967,ACRILPLAST IE ACCENT 20 LTS,157147.36,SI,PINTURA,ACCENT,ACCENT,20,1,20,20,,L,ALTA,auto_base_en_nombre,Presentación 20L
82010964,ACRILPLAST IE ACCENT 4 LTS,40849.76,SI,PINTURA,ACCENT,ACCENT,4,1,4,4,,L,ALTA,auto_base_en_nombre,Presentación 4L
82012093,ACRILPLAST IE AMARILLO 1 LT,24437.24,NO,,,,,,,,,,,,Sin base tintométrica detectada
82012097,ACRILPLAST IE AMARILLO 20 LTS,310460.40,NO,,,,,,,,,,,,Sin base tintométrica detectada
82012094,ACRILPLAST IE AMARILLO 4 LTS,69550.44,NO,,,,,,,,,,,,Sin base tintométrica detectada
82016753,ACRILPLAST IE AZUL TRAFUL 1 LT,25155.98,NO,,,,,,,,,,,,Sin base tintométrica detectada
82016757,ACRILPLAST IE AZUL TRAFUL 20 LTS,310460.40,NO,,,,,,,,,,,,Sin base tintométrica detectada
82016754,ACRILPLAST IE AZUL TRAFUL 4 LTS,69550.44,NO,,,,,,,,,,,,Sin base tintométrica detectada
82014453,ACRILPLAST IE BERMELLON 1 LT,24437.24,NO,,,,,,,,,,,,Sin base tintométrica detectada
82014457,ACRILPLAST IE BERMELLON 20 LTS,310460.40,NO,,,,,,,,,,,,Sin base tintométrica detectada
82014454,ACRILPLAST IE BERMELLON 4 LTS,69550.44,NO,,,,,,,,,,,,Sin base tintométrica detectada
82010993,ACRILPLAST IE BLANCO 1 LTS,18704.80,SI,PINTURA,PASTEL,PASTEL,1,1,1,1,,L,MANUAL,Acrilplast IE Blanco x1,Regla manual: Acrilplast IE Blanco x1; Presentación 1L
82010996,ACRILPLAST IE BLANCO 10 LTS,113717.46,SI,PINTURA,PASTEL,PASTEL,10,1,10,10,,L,MANUAL,Acrilplast IE Blanco x1,Regla manual: Acrilplast IE Blanco x1; Presentación 10L
82010997,ACRILPLAST IE BLANCO 20 LTS,208164.08,SI,PINTURA,PASTEL,PASTEL,20,1,20,20,,L,MANUAL,Acrilplast IE Blanco x1,Regla manual: Acrilplast IE Blanco x1; Presentación 20L
82010994,ACRILPLAST IE BLANCO 4 LTS,48198.79,SI,PINTURA,PASTEL,PASTEL,4,1,4,4,,L,MANUAL,Acrilplast IE Blanco x1,Regla manual: Acrilplast IE Blanco x1; Presentación 4L
82010973,ACRILPLAST IE DEEP 1 LT,16459.58,SI,PINTURA,DEEP,DEEP,1,1,1,1,,L,ALTA,auto_base_en_nombre,Presentación 1L
82010977,ACRILPLAST IE DEEP 20 LTS,183632.01,SI,PINTURA,DEEP,DEEP,20,1,20,20,,L,ALTA,auto_base_en_nombre,Presentación 20L
82010974,ACRILPLAST IE DEEP 4 LTS,43549.80,SI,PINTURA,DEEP,DEEP,4,1,4,4,,L,ALTA,auto_base_en_nombre,Presentación 4L
82015393,ACRILPLAST IE GRIS CEMENTO 1 LT,21057.64,NO,,,,,,,,,,,,Sin base tintométrica detectada
82015397,ACRILPLAST IE GRIS CEMENTO 20 LTS,260542.84,NO,,,,,,,,,,,,Sin base tintométrica detectada
82015394,ACRILPLAST IE GRIS CEMENTO 4 LTS,57435.87,NO,,,,,,,,,,,,Sin base tintométrica detectada
82013833,ACRILPLAST IE MARRON AFRICANO 1 LT,21057.64,NO,,,,,,,,,,,,Sin base tintométrica detectada
82013837,ACRILPLAST IE MARRON AFRICANO 20 LTS,260542.84,NO,,,,,,,,,,,,Sin base tintométrica detectada
82013834,ACRILPLAST IE MARRON AFRICANO 4 LTS,58244.81,NO,,,,,,,,,,,,Sin base tintométrica detectada
82017003,ACRILPLAST IE NEGRO EBANO 1 LT,21057.64,NO,,,,,,,,,,,,Sin base tintométrica detectada
82017007,ACRILPLAST IE NEGRO EBANO 20 LTS,260542.84,NO,,,,,,,,,,,,Sin base tintométrica detectada
82017004,ACRILPLAST IE NEGRO EBANO 4 LTS,58244.81,NO,,,,,,,,,,,,Sin base tintométrica detectada
82013213,ACRILPLAST IE OCRE 1 LT,21057.64,NO,,,,,,,,,,,,Sin base tintométrica detectada
82013217,ACRILPLAST IE OCRE 20 LTS,260542.84,NO,,,,,,,,,,,,Sin base tintométrica detectada
82013214,ACRILPLAST IE OCRE 4 LTS,58244.81,NO,,,,,,,,,,,,Sin base tintométrica detectada
82014513,ACRILPLAST IE ROJO BORGOÑA 1 LT,21057.64,NO,,,,,,,,,,,,Sin base tintométrica detectada
82014517,ACRILPLAST IE ROJO BORGOÑA 20 LTS,248699.96,NO,,,,,,,,,,,,Sin base tintométrica detectada
82014514,ACRILPLAST IE ROJO BORGOÑA 4 LTS,58244.81,NO,,,,,,,,,,,,Sin base tintométrica detectada
82014043,ACRILPLAST IE ROJO TEJA 1 LTS,21057.64,NO,,,,,,,,,,,,Sin base tintométrica detectada
82014047,ACRILPLAST IE ROJO TEJA 20 LTS,260542.84,NO,,,,,,,,,,,,Sin base tintométrica detectada
82014044,ACRILPLAST IE ROJO TEJA 4 LTS,56626.91,NO,,,,,,,,,,,,Sin base tintométrica detectada
82010983,ACRILPLAST IE TINT 1 LT,17878.17,SI,PINTURA,TINT,TINT,1,1,1,1,,L,ALTA,auto_base_en_nombre,Presentación 1L
82010987,ACRILPLAST IE TINT 20 LTS,200819.53,SI,PINTURA,TINT,TINT,20,1,20,20,,L,ALTA,auto_base_en_nombre,Presentación 20L
82010984,ACRILPLAST IE TINT 4 LTS,45376.50,SI,PINTURA,TINT,TINT,4,1,4,4,,L,ALTA,auto_base_en_nombre,Presentación 4L
82015613,ACRILPLAST IE VERDE FORESTA 1 LT,25874.72,NO,,,,,,,,,,,,Sin base tintométrica detectada
82015617,ACRILPLAST IE VERDE FORESTA 20 LTS,310460.40,NO,,,,,,,,,,,,Sin base tintométrica detectada
82015614,ACRILPLAST IE VERDE FORESTA 4 LTS,69550.44,NO,,,,,,,,,,,,Sin base tintométrica detectada
81611027,ACRILPLAST INTERIOR BLANCO 20 LTS,182567.03,NO,,,,,,,,,,,,Sin base tintométrica detectada
75690001,ADHERENTE INTERMEDIO EPOXI 2 LTS (1 LT A + 1 LT B),716.88,NO,,,,,,,,,,,,Sin base tintométrica detectada
75690002,ADHERENTE INTERMEDIO EPOXI 8 LTS (4 LT A + 4 LT B),2644.89,NO,,,,,,,,,,,,Sin base tintométrica detectada
SBDTR1/4,ADHESIVO DE CONTACTO TRANSP.LATA,20336.41,NO,,,,,,,,,,,,Sin base tintométrica detectada
72311152,ADHESIVO EPOXI  A+B 5 KGS,270255.32,NO,,,,,,,,,,,,Sin base tintométrica detectada
60404507,ADHESIVO PARA PORCELANATO 25 KGS,42521.61,NO,,,,,,,,,,,,Sin base tintométrica detectada
ZAP10B,ADHESIVO ZAPATILLAS SUPRABOND 10g,7947.34,NO,,,,,,,,,,,,Sin base tintométrica detectada
FORTEX1000,ADHESIVO/COLA VINILICA FORTEX 1 kl,345.09,NO,,,,,,,,,,,,Sin base tintométrica detectada
FORTEX0500,ADHESIVO/COLA VINILICA FORTEX 1/2,256.74,NO,,,,,,,,,,,,Sin base tintométrica detectada
43589082,AEROSOL SINTE EPOXI ACERO 440 CC,20633.72,NO,,,,,,,,,,,,Sin base tintométrica detectada
AFXW16,Afix 16u blister,10328.61,NO,,,,,,,,,,,,Sin base tintométrica detectada
AFXPC120,Afix practi clavo 20u,13563.60,NO,,,,,,,,,,,,Sin base tintométrica detectada
AFXWR2,"Afix rollo 1,2cm x 2m",11476.21,NO,,,,,,,,,,,,Sin base tintométrica detectada
EMF,AG ESPONJA CARROCERIA FINA MARRON,766.67,NO,,,,,,,,,,,,Sin base tintométrica detectada
ELMF,AG ESPONJA CARROCERIA MICRO LILA,766.67,NO,,,,,,,,,,,,Sin base tintométrica detectada
EVSF,AG ESPONJA CARROCERIA SUPER FINA VERDE,766.67,NO,,,,,,,,,,,,Sin base tintométrica detectada
600085,AGITADOR MULTIMIX,37142.86,NO,,,,,,,,,,,,Sin base tintométrica detectada
WA38508,AGITADOR PARA TALADRO,19285.72,NO,,,,,,,,,,,,Sin base tintométrica detectada
40330632,AGUAPLAST MADERA 125 ML CAOBA,12439.77,NO,,,,,,,,,,,,Sin base tintométrica detectada
40330652,AGUAPLAST MADERA 125 ML NEGRO WENGE,12439.77,NO,,,,,,,,,,,,Sin base tintométrica detectada
40330622,AGUAPLAST MADERA 125 ML NOGAL,12439.77,NO,,,,,,,,,,,,Sin base tintométrica detectada
40330642,AGUAPLAST MADERA 125 ML NOGAL OSCURO,12439.77,NO,,,,,,,,,,,,Sin base tintométrica detectada
40330612,AGUAPLAST MADERA 125 ML PINO,12439.77,NO,,,,,,,,,,,,Sin base tintométrica detectada
40330602,AGUAPLAST MADERA 125 ML ROBLE,12439.77,NO,,,,,,,,,,,,Sin base tintométrica detectada
650223,ANDAMIO PLEGABLE CON BANDEJA,32883.59,NO,,,,,,,,,,,,Sin base tintométrica detectada
71727222,ANTIOXIDO EPOXI GRIS N.I. 1196 4 LTS,189464.61,NO,,,,,,,,,,,,Sin base tintométrica detectada
71724012,ANTIOXIDO EPOXI ROJO  N I  1196 4 LTS (A+B),210898.14,NO,,,,,,,,,,,,Sin base tintométrica detectada
71724011,ANTIOXIDO EPOXI ROJO N I  1196 1 LTS (A+B),61674.91,NO,,,,,,,,,,,,Sin base tintométrica detectada
HDY001,APLICADOR HANDYMAN,1252.35,NO,,,,,,,,,,,,Sin base tintométrica detectada
WB1233,APLICADOR LLANA PLASTICA 12x30,10599.99,NO,,,,,,,,,,,,Sin base tintométrica detectada
EG01079190,APLICADOR PLANO ARTICULADO PAD 9,41390.82,NO,,,,,,,,,,,,Sin base tintométrica detectada
EG01079090,APLICADOR PLANO FIJO PAD 9,31535.77,NO,,,,,,,,,,,,Sin base tintométrica detectada
1001184,ART WALL CUADROS 500 M X 500 M,643.43,NO,,,,,,,,,,,,Sin base tintométrica detectada
10001161,AX6 3021 AFLOJA/DESTRABA (DES.ANTI) 250,6179.09,NO,,,,,,,,,,,,Sin base tintométrica detectada
