base,id_formula,idcolor,descripcion,formula_1l
ACCENT,98018,01A1A,VELVET MAROON,E=16 | F=8 | KX=15 | V=85
ACCENT,98019,01A1A SYC,VELVET MAROON,E=14 | F=7 | KX=13.5 | M=125.5
ACCENT,98030,01B4D SYC,LAVENDER SILK,B=7.5 | KX=48 | M=88.5
ACCENT,98038,01C4D SYC,RICH PLUM,B=8 | KX=48 | L=8 | M=80
ACCENT,98039,02A1A,CARNIVAL RED,B=4 | KX=14 | R=10 | V=116
ACCENT,98040,02A1A SYC,CARNIVAL RED,B=3 | KX=10 | M=133.5 | SS=14
ACCENT,98052,02B4D SYC,BLAZEN PINK,KX=48 | M=96
ACCENT,98060,02C4D SYC,SATIN ROSE,KX=48 | L=10.5 | M=89
ACCENT,98061,03A1A,SCARLET,KX=11 | L=2 | R=53 | V=72
ACCENT,98062,03A1A SYC,SCARLET,KX=7 | L=1.5 | M=71 | SS=65
ACCENT,98074,03B4D SYC,LIPSTICK,KX=42 | M=60 | SS=36
ACCENT,98082,03C4D SYC,PAINTED DESERT,KX=42 | L=8 | M=40 | SS=48
ACCENT,98083,04A1A,FIRE ENGINE RED,AXX=26 | KX=8 | R=43 | V=67
ACCENT,98084,04A1A SYC,4A1A PARA SYC,AXX=17 | KX=5 | M=72 | SS=56
ACCENT,98096,04B4D SYC,CALYPSO RUFFEL,KX=38 | M=28 | SS=68
ACCENT,98104,04C4D SYC,ROSALIND,F=7.5 | KX=48 | M=88.5
ACCENT,98105,05A1A,SPECTRUM RED,AXX=19 | KX=18 | R=88 | V=19
ACCENT,98106,05A1A SYC,SPECTRUM RED,AXX=12.5 | KX=12 | M=20.5 | SS=115
ACCENT,98118,05B4D SYC,PINK FLARMINGO,KX=30 | SS=96
ACCENT,98125,05C4D SYC,PAGODA RED,F=16 | KX=54 | M=80
ACCENT,98126,06A1A,RED HOT,F=6 | KX=6 | R=126 | T=6
ACCENT,98138,06B4D SYC,JAPONICA,KX=38 | M=11 | SS=78.5 | T=6.5
ACCENT,98146,06C4D SYC,EGYPTIAN RED,F=6.5 | KX=38 | SS=90
ACCENT,98147,07A1A,BURGUNDY DASH,F=18 | KX=9 | L=23 | V=76
ACCENT,98148,07A1A SYC,BURGUNDY DASH,F=16 | KX=8 | L=21 | M=114.5
ACCENT,98168,07C4D SYC,COPPER GLOW,F=22 | KX=56 | M=74
ACCENT,98169,08A1A,OLD HICKORY,B=14 | I=34 | KX=5 | V=67
ACCENT,98170,08A1A SYC,OLD HICKORY,B=13.5 | I=33 | KX=5 | M=108
ACCENT,98182,08B4D SYC,BROWNBERRY,B=13 | F=13 | KX=48 | M=64.5
ACCENT,98191,09A1A,BOULDER BROWN,F=7 | KX=12 | L=75 | V=20
ACCENT,98192,09A1A SYC,BOULDER BROWN,F=7 | KX=12 | L=75 | M=33
ACCENT,98212,10A1A,ROANOKE RED,I=41 | KX=15 | T=21 | V=67
ACCENT,98213,10A1A SYC,ROANOKE RED,I=35 | KX=13 | M=94.5 | T=18
ACCENT,98224,11A1A,CARNELIAN,B=30 | F=45 | KX=33
ACCENT,98235,12A1A,DEVIL'S FOOD,B=31 | F=28 | KX=40 | L=9
ACCENT,98246,13A1A,CUMBERLAND,B=66 | KX=30 | L=39 | V=9
ACCENT,98247,13A1A SYC,CUMBERLAND,B=66 | KX=30 | L=39 | M=15
ACCENT,98258,14A1A,WAR DANCE,B=2 | F=41 | KX=23 | V=66
ACCENT,98259,14A1A SYC,14A1A SYC,F=24 | KX=6 | L=22 | M=88
ACCENT,98271,14B4D SYC,MINERAL RED,KX=48 | L=7.5 | SS=74 | T=15
ACCENT,98279,14C4D SYC,BRIGAND,F=15 | KX=48 | SS=74 | T=7.5
ACCENT,98280,15A1A,PIZZAZZ,AXX=25 | KX=10 | L=1 | R=114
ACCENT,98281,15A1A SYC,15A1A SYC,AXX=14 | KX=5.5 | L=0.5 | SS=125
ACCENT,98293,15B4D SYC,TROPICAL PUNCH,AXX=18.5 | C=0.5 | KX=48 | SS=77
ACCENT,98301,15C4D SYC,LOBSTER SHELL,F=7.5 | KX=48 | SS=74 | T=15
ACCENT,98302,16A1A,DEEP HENNA,F=24 | KX=6 | R=60 | T=48
ACCENT,98303,16A1A SYC,16A1A SYC,F=20 | KX=5 | SS=83 | T=40
ACCENT,98315,16B4D SYC,APRICOT BRANDY,F=8 | KX=48 | SS=64 | T=24
ACCENT,98323,16C4D SYC,BRANDY FLAME,F=16.5 | KX=48 | SS=49 | T=24.5
ACCENT,98324,17A1A,VIVID ORANG,AXX=56 | C=4 | KX=20 | R=64
ACCENT,98325,17A1A SYC,VIVID ORANG,AXX=43 | C=3 | KX=15.5 | SS=98.5
ACCENT,98337,17B4D SYC,ORANGE SUPREME,KX=48 | SS=64 | T=32
ACCENT,98345,17C4D SYC,GLAZED CARROT,C=16.5 | KX=48 | SS=49 | T=24.5
ACCENT,98346,18A1A,REALLY ORANGE,KX=27 | R=23 | T=90 | V=4
ACCENT,98347,18A1A SYC,REALLY ORANGE,KX=25.5 | M=6 | SS=43.5 | T=85
ACCENT,98368,19A1A,JACK-O-LANTERN,KX=24 | R=4 | T=112 | V=4
ACCENT,98369,19A1A SYC,19A1A SYC,KX=26 | M=7 | SS=8 | T=112
ACCENT,98391,20A1A,PATIO BRICK,C=88 | F=13 | I=2 | KX=29
ACCENT,98403,21A1A,BRONCO BROWN,F=18 | I=60 | KX=31 | T=20
ACCENT,98415,22A1A,REALLY RUST,C=72 | F=30 | KX=12 | T=15
ACCENT,98427,231A SYC,231A SYC,KX=9.5 | L=6.5 | M=88 | SS=50
ACCENT,98428,232A SYC,232A SYC,B=2.5 | KX=9 | M=126 | SS=13
ACCENT,98430,23A1A,PECAN PIE,C=72 | F=9 | KX=24 | L=9
ACCENT,98441,24A1A,RICH CHOCOLATE,C=72 | F=6 | I=42 | KX=6
ACCENT,98452,25A1A,CHOCOLATE CHIP,B=48 | C=48 | F=30 | KX=12
ACCENT,98463,262A SYC,262A SYC,AXX=13 | KX=5 | L=0.5 | SS=114
ACCENT,98464,26A1A,CAFE NOIR,B=65 | C=18 | F=18 | KX=15
ACCENT,98475,27A1A,NECTARINE,KX=58 | R=4 | T=77
ACCENT,98476,27A1A SYC,NECTARINE,KX=58 | SS=8 | T=77
ACCENT,98493,28A1A,CADMIUM YELLOW,KX=36 | T=108
ACCENT,98504,29A1A,DAZZLE YELLOW,AXX=68 | KX=42 | T=34
ACCENT,98515,30A1A,RICH MUSTARD,AXX=87 | KX=50 | T=7
ACCENT,98525,30C4A,CENTENNIAL GOLD,AXX=92 | C=14 | KX=36 | L=2
ACCENT,98526,31A1A,COSTA DEL SOL,AXX=94 | C=3 | KX=45 | L=2
ACCENT,98537,32A1A,LACQUER YELLOW,AXX=114 | KX=30
ACCENT,98548,33A1A,EQUADOR,AXX=52 | KX=51 | L=10 | T=31
ACCENT,98559,34A1A,DANDY BROWN,B=29 | F=18 | KX=37 | T=36
ACCENT,98570,35A1A,BEECH TREE,C=46 | F=5 | KX=30 | L=63
ACCENT,98580,35C4A,OAKHEART,C=57 | I=19 | KX=18 | L=19
ACCENT,98581,36A1A,DEEP AMBER,C=96 | I=13 | KX=19 | T=24
ACCENT,98587,36B4A,PIGSKIN,C=35 | I=12 | KX=57 | T=40
ACCENT,98591,36C4A,SUEDE,C=67 | I=13 | KX=16 | L=13
ACCENT,98592,37A1A,SADDLEBAG,I=22 | KX=41 | L=23 | T=58
ACCENT,98602,37C4A,ANTIQUE BRASS,C=36 | KX=69 | L=15 | T=24
ACCENT,98603,38A1A,STRATUM ROCK,I=10 | KX=27 | L=69 | T=38
ACCENT,98614,39A1A,LE SABRE,B=11 | C=17 | KX=10 | L=111
ACCENT,98625,3A1A SYC,3A1A SYC,KX=6 | L=1 | M=66 | SS=58
ACCENT,98626,40A1A,PRIMROSE,AXX=108 | D=1
ACCENT,98632,40B4A,BRIGHT LIME,AXX=100 | C=5 | D=2 | KX=37
ACCENT,98636,40C4A,WEEPING WILLOW,AXX=102 | D=3 | KX=36 | L=3
ACCENT,98637,419,Sistema Industrial 419,B=102 | D=38 | KX=10
ACCENT,98638,41A1A,CITRONETTE,AXX=87 | C=20 | D=6 | KX=31
ACCENT,98644,41B4A,GREEN ELECTRA,AXX=79 | D=4 | KX=54
ACCENT,98648,41C4A,GREENELLA,AXX=87 | C=6 | D=8 | KX=43
ACCENT,98649,42A1A,ENVY'S EYES,AXX=90 | D=15 | KX=38 | L=1
ACCENT,98660,43A1A,CHRISTMAS GREEN,AXX=74 | D=41 | KX=19 | L=10
ACCENT,98671,44A1A,FOREST GREEN,AXX=70 | B=21 | D=42 | KX=14
ACCENT,98682,45A1A,LUCKY IRISH,AXX=51 | D=58 | KX=34 | R=1
ACCENT,98683,45A1A SYC,45A1A SYC,AXX=53 | D=58 | KX=34 | SS=2
ACCENT,98694,46A1A,WILD MINT,AXX=29 | D=90 | KX=13 | L=12
ACCENT,98705,47A1A,TOBACCO GOLD,B=2 | C=48 | KX=10 | L=51
ACCENT,98717,48A1A,CONGO,KX=29 | L=43 | T=72
ACCENT,98728,49A1A,SHADEY OLIVE,AXX=41 | B=20 | C=61 | KX=22
ACCENT,98740,50A1A,FLORIDA PALM,D=9 | KX=28 | L=44 | T=63
ACCENT,98751,51A1A,RIPE AVOCADO,C=57 | D=32 | KX=18 | L=39
ACCENT,98762,52A1A,BLACK FOREST,B=47 | D=29 | KX=11 | L=57
ACCENT,98774,53A1A,SCARAB,AXX=30 | D=84 | KX=30
ACCENT,98785,54A1A,EMERALD SEA,AXX=8 | D=100 | KX=36
ACCENT,98796,55A1A,GOLF GREEN,C=8 | D=99 | KX=13
ACCENT,98807,56A1A,JAMACIAN HOLIDAY,D=106 | KX=38
ACCENT,98819,57A1A,BILLIARD,D=80 | E=16 | KX=24
ACCENT,98830,58A1A,HAWAIIAN BLUE,D=64 | E=32 | KX=24
ACCENT,98841,59A1A,BLUE CANYON,B=1 | D=49 | E=44 | KX=29
ACCENT,98853,60A1A,GRENADA,C=9 | D=52 | KX=28 | L=55
ACCENT,98864,61A1A,NOCTURNAL SEA,B=21 | C=1 | D=47 | KX=15
ACCENT,98875,62A1A,DEEP TEAL,B=11 | D=88 | E=17 | KX=16
ACCENT,98886,63A1A,BLUE VASE,B=10 | D=62 | E=58 | KX=16
ACCENT,98897,64A1A,CYPRESS BLUE,C=6 | E=108 | KX=12 | L=18
ACCENT,98908,65A1A,BLACK MAGIC,B=102 | D=38 | KX=4
